id,query,Unnamed,title,image,link,listing_type,bedroom,bathrooms,location,town,price,pricepermonth,views,reactions
36,1 bedroom house in Bonduma Buea,307,"1 for sale  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/a493175759b09059b5a962d002190377.jpg,https://digitalrenter.com/en/store/Bonduma/Buea/store-for-sale-3400?locale=en,Guest house,1,1.0,Bonduma, Buea,2500000.0,per month,2,11
37,1 bedroom house in Bonduma Buea,352,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/a530589f007e3c96d36717871a14235f.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3262?locale=en,Studio,1,1.0,Bonduma, Buea,50000.0,per month,50,6
38,1 bedroom house in Bonduma Buea,372,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.com/front/img/house-search.png,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3232?locale=en,Studio,1,1.0,Bonduma, Buea,55000.0,per month,55,0
39,1 bedroom house in Bonduma Buea,380,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/f67c9cc982ea919317d09ef0d0d5c774.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3212?locale=en,Studio,1,1.0,Bonduma, Buea,50000.0,per month,50,4
40,1 bedroom house in Bonduma Buea,386,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/bc038951398b1a0aeb76cf7926ab885c.jpg,https://digitalrenter.com/en/store/Bonduma/Buea/store-to-let-3194?locale=en,Store,1,0.0,Bonduma, Buea,100000.0,per month,100,1
41,1 bedroom house in Bonduma Buea,410,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/5eb7ff92b94227f0acb3a62f737421fe.JPEG,https://digitalrenter.com/en/store/Bonduma/Buea/store-to-let-3148?locale=en,Store,1,1.0,Bonduma, Buea,100000.0,per month,100,2
42,1 bedroom house in Bonduma Buea,425,"1 room for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/19e1c80013dbc64043437baf601524a2.JPEG,https://digitalrenter.com/en/single%20room/Bonduma/Buea/single-room-to-let-3122?locale=en,Single Room,1,1.0,Bonduma, Buea,30000.0,per month,30,2
43,1 bedroom house in Bonduma Buea,429,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/0948be349db8267702b7fd3d18d716aa.jpg,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3118?locale=en,Studio,1,1.0,Bonduma, Buea,50000.0,per month,50,4
44,1 bedroom house in Bonduma Buea,464,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/0cb10cfde1f53835617ae44f6b76d01a.jpg,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3054?locale=en,Studio,1,1.0,Bonduma, Buea,150000.0,per month,150,4
45,1 bedroom house in Bonduma Buea,465,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/7374d0edbb5d3cf138691480faa875e6.JPEG,https://digitalrenter.com/en/store/Bonduma/Buea/store-to-let-3053?locale=en,Store,1,1.0,Bonduma, Buea,30000.0,per month,30,2
46,1 bedroom house in Bonduma Buea,466,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/49f08b88793aa5ae6a382cee8aa65ea8.jpg,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3052?locale=en,Studio,1,1.0,Bonduma, Buea,50000.0,per month,50,6
47,1 bedroom house in Bonduma Buea,522,"1 room for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/008e2790c1697c8b5749e56d0c3bd0a4.JPEG,https://digitalrenter.com/en/single%20room/Bonduma/Buea/single-room-to-let-2937?locale=en,Single Room,1,1.0,Bonduma, Buea,50000.0,per month,50,5
48,1 bedroom house in Bonduma Buea,523,"1 room for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.com/front/img/house-search.png,https://digitalrenter.com/en/single%20room/Bonduma/Buea/single-room-to-let-2936?locale=en,Single Room,1,1.0,Bonduma, Buea,30000.0,per month,30,0
49,1 bedroom house in Bonduma Buea,590,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/185f8d288b277d0d13fce59658e92146.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-2791?locale=en,Studio,1,1.0,Bonduma, Buea,40000.0,per month,40,4
50,1 bedroom house in Bonduma Buea,624,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/6ccc5e06899647bf0098e218f5f402c5.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-2700?locale=en,Studio,1,1.0,Bonduma, Buea,50000.0,per month,50,4
51,1 bedroom house in Bonduma Buea,676,"1 room for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/rent-my-room/c39e7f3173b71e715c638b7b6b74fa63.jpg,https://digitalrenter.com/en/single%20room/Bonduma/Buea/rentmyroom-student-room-in-bonduma-2484?locale=en,Single Room,1,1.0,Bonduma, Buea,3000.0,per day,3,8
52,1 bedroom house in Bonduma Buea,701,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/ec9ca371a4e1dd0d148a9876578f4994.jpg,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-2377?locale=en,Studio,1,1.0,Bonduma, Buea,80000.0,per month,80,9
53,1 bedroom house in Bonduma Buea,838,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/8f294ad3209e1a71f672ec5a69283608.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-1918?locale=en,Studio,1,1.0,Bonduma, Buea,75000.0,per month,75,13
54,3 bedroom house in Clerks Quarters Buea,461,"3 bedrooms apartment for rent  |  Clerks Quarters, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/7f64406abf94bc70db8c57d0fd1469b1.JPEG,https://digitalrenter.com/en/apartment/Clerks%20Quarters/Buea/apartment-to-let-3063?locale=fr,Apartment,3,2.0,Clerks Quarters, Buea,100000.0,per month,100,6
55,1 bedroom house in TKC Yaounde,572,"1 room for rent  |  TKC, Yaounde, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/1477aa2c00f7c0050f7d61ffefacc263.JPEG,https://digitalrenter.com/en/single%20room/TKC/Yaounde/single-room-to-let-2848?locale=en,Single Room,1,1.0,TKC, Yaounde,30000.0,per month,30,5
56,student rooms in Mile 16  Buea,612,"1 room for rent  |  Mile 16, Buea, Cameroon",https://digitalrenter.com/front/img/house-search.png,https://digitalrenter.com/en/single%20room/Mile%2016/Buea/single-room-to-let-2731?locale=en,Single Room,1,1.0,Mile 16, Buea,20000.0,per month,20,0
57,student rooms in Mile 16  Buea,740,"1 toguest house to let   |  Mile 16, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/91b6ebefdc50efb03bfda15061620978.jpg,https://digitalrenter.com/en/guest%20house/Mile%2016/Buea/guest-house-to-let-2271?locale=en,Guest house,1,1.0,Mile 16, Buea,45000.0,As from,45,13
58,apartment in  Buea Borstal,256,"3 bedrooms apartment for rent  |  Borstal, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/3f8414a885ceb219e52c56dd9eb05732.JPEG,https://digitalrenter.com/en/apartment/Borstal/Buea/apartment-to-let-3497?locale=en,Apartment,3,2.0,Borstal, Buea,100000.0,per month,100,6
59,apartment in  Buea Borstal,308,"2 bedrooms apartment for rent  |  Borstal, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/e95f782072e12aebb06b993eccd04bde.JPEG,https://digitalrenter.com/en/apartment/Borstal/Buea/apartment-to-let-3399?locale=en,Apartment,2,2.0,Borstal, Buea,90000.0,per month,90,7
60,guest house in  Kribi Kribi new layout,716,"1 toguest house for sale   |  Kribi new layout, Kribi, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/ce67d689b505fe6c4863ac9928aac8db.jpg,https://digitalrenter.com/en/guest%20house/Kribi%20new%20layout/Kribi/guest-house-for-sale-2326?locale=en,Guest house,1,1.0,Kribi new layout, Kribi,1700000000.0,As from,1,6
61,3 bedroom house in Ndongo Buea,822,"3 bedrooms apartment for rent  |  Ndongo, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/2eb1b5405e415c1eef908455a7830947.JPEG,https://digitalrenter.com/en/apartment/Ndongo/Buea/apartment-to-let-1999?locale=en,Apartment,3,2.0,Ndongo, Buea,120000.0,per month,120,13
62,3 bedroom house in Great soppo Buea,63,"3 bedrooms apartment for rent  |  Great soppo, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/82137ccc8d412a615957e5ddeea23ace.JPEG,https://digitalrenter.com/en/apartment/Great%20soppo/Buea/apartment-to-let-3883?locale=en,Apartment,3,2.0,Great soppo, Buea,100000.0,per month,100,4
63,3 bedroom house in Great soppo Buea,388,"3 bedrooms apartment for rent  |  Great soppo, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/2b66aba407c5d49873aeda5020c22654.JPEG,https://digitalrenter.com/en/apartment/Great%20soppo/Buea/apartment-to-let-3187?locale=en,Apartment,3,2.0,Great soppo, Buea,100000.0,per month,100,9
64,3 bedroom house in Great soppo Buea,400,"3 bedrooms apartment for rent  |  Great soppo, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/192562d36fb2df806dea33da7fe8b5f8.JPEG,https://digitalrenter.com/en/apartment/Great%20soppo/Buea/apartment-to-let-3165?locale=en,Apartment,3,2.0,Great soppo, Buea,110000.0,per month,110,9
65,3 bedroom house in Great soppo Buea,566,"3 bedrooms apartment for rent  |  Great soppo, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/d56976295f72632f7177274a6fc8e35b.JPEG,https://digitalrenter.com/en/apartment/Great%20soppo/Buea/apartment-to-let-2859?locale=en,Apartment,3,2.0,Great soppo, Buea,150000.0,per month,150,8
66,affordable houses in  Douala Rail - Bonaberi,169,"1 toguest house to let   |  Rail - Bonaberi, Douala, Cameroon",https://digitalrenter.com/front/img/house-search.png,https://digitalrenter.com/en/guest%20house/Rail%20-%20Bonaberi/Douala/guest-house-to-let-3679?locale=en,Guest house,1,1.0,Rail - Bonaberi, Douala,30000.0,As from,30,0
67,affordable houses in  Douala Rail - Bonaberi,188,"1 toguest house to let   |  Rail - Bonaberi, Douala, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/ba263a451ec596c82c7fc3508b670c5a.jpg,https://digitalrenter.com/en/guest%20house/Rail%20-%20Bonaberi/Douala/guest-house-to-let-3628?locale=en,Guest house,1,1.0,Rail - Bonaberi, Douala,25000.0,As from,25,2
68,guest house in  Yaounde Damasse,825,"1 for sale  |  Damasse, Yaounde, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/38b243e03b799677aaeb8cc63bfe4353.jpg,https://digitalrenter.com/en/duplex/Damasse/Yaounde/duplex-for-sale-1991?locale=en,Guest house,1,1.0,Damasse, Yaounde,170000000.0,per month,170,5
69,cheap house in  Buea,0,"1 for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/fcaaf9bf27b22ccf44ec3207298263de.jpg,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3309?locale=en,Studio,1,1.0,Bonduma, Buea,50000.0,per month,50,4
70,cheap house in  Buea,2,"1 toguest house to let   |  Mile 17, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/aa6b5f8a93f23a996be05f4734a4faea.jpg,https://digitalrenter.com/en/guest%20house/Mile%2017/Buea/guest-house-to-let-1701?locale=fr,Guest house,1,1.0,Mile 17, Buea,25000.0,As from,25,20
71,cheap house in  Buea,23,"1 room for rent  |  Great soppo, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/cc3624bd742265324463bbe4ab393d87.jpg,https://digitalrenter.com/en/single%20room/Great%20soppo/Buea/single-room-to-let-3951?locale=en,Single Room,1,1.0,Great soppo, Buea,35000.0,per month,35,8
72,cheap house in  Buea,35,"1 room for rent  |  Mayor street , Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/30a0c76f21711b5e4b5f0d86024c29a2.JPEG,https://digitalrenter.com/en/single%20room/Mayor%20street%20/Buea/single-room-to-let-3928?locale=en,Single Room,1,1.0,Mayor street , Buea,35000.0,per month,35,1
73,cheap house in  Buea,37,"1 room for rent  |  Mayor street , Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/7d3bea2b25a31e6fba81a7db82d090cb.JPEG,https://digitalrenter.com/en/single%20room/Mayor%20street%20/Buea/single-room-to-let-3924?locale=en,Single Room,1,1.0,Mayor street , Buea,35000.0,per month,35,1
74,cheap house in  Buea,38,"1 bedroom studio for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/397dee4929e6635e79799f4528e24aec.JPEG,https://digitalrenter.com/en/studio/Sandpit/Buea/studio-to-let-3918?locale=en,Studio,1,1.0,Sandpit, Buea,50000.0,per month,50,4
75,cheap house in  Buea,40,"1 bedroom studio for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.amazonaws.com/listings/32060c84396251d438c472e145ea3b60.JPEG,https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3914?locale=en,Studio,1,1.0,Bonduma, Buea,50000.0,per month,50,5
