Unnamed: 0,title,image,link,listing_type,bedroom,bathrooms,location,town,price,pricepermonth,views,reactions
535,"1 bedroom for rent  |  Behind GHS Limbe, Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/44ab51a6e19a162823f8a522e6c655c7.jpg,https://digitalrenter.com/en/studio/Behind%20GHS%20Limbe/Limbe/studio-to-let-2912?locale=en,Studio,1.0,1.0,Behind GHS Limbe, Limbe,50000.0,per month,50,4
536,"1 bedroom for rent  |  Central market , Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/ec43145e8ac7c1a22244513ffd33eb4d.JPEG,https://digitalrenter.com/en/studio/Central%20market%20/Buea/studio-to-let-2911?locale=en,Studio,1.0,1.0,Central market , Buea,65000.0,per month,65,4
537,"3 bedroom bedrooms apartment for rent  |  Central market , Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/ca7048f6ed63a6c56f7831eaab3428d3.JPEG,https://digitalrenter.com/en/apartment/Central%20market%20/Buea/apartment-to-let-2910?locale=en,Apartment,3.0,2.0,Central market , Buea,130000.0,per month,130,9
538,"2 bedroom bedrooms apartment for rent  |  Bokwai, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/f23c59472b6b820a37c3ec610952f94c.JPEG,https://digitalrenter.com/en/apartment/Bokwai/Buea/apartment-to-let-2909?locale=en,Apartment,2.0,2.0,Bokwai, Buea,100000.0,per month,100,5
539,"2 bedroom bedrooms apartment for rent  |  Behind military hospital or Behind Chantal biya foundation , Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/1733dcf74326b5d5412a954888655c09.jpg,https://digitalrenter.com/en/apartment/Behind%20military%20hospital%20or%20Behind%20Chantal%20biya%20foundation%20/Limbe/apartment-to-let-2907?locale=en,Apartment,2.0,2.0,Behind military hospital or Behind Chantal biya foundation , Limbe,110000.0,per year,110,11
540,"1 bedroom room for rent  |  Bocom mile 2, Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/8d9a4d2c2e20c0209af8f4130ab455f7.jpg,https://digitalrenter.com/en/single%20room/Bocom%20mile%202/Limbe/single-room-to-let-2905?locale=en,Single Room,1.0,1.0,Bocom mile 2, Limbe,35000.0,per month,35,7
541,"3 bedroom bedrooms apartment for sale  |  Batoke, Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/a43c591ef2db2929c29031fb968395b0.jpg,https://digitalrenter.com/en/apartment/Batoke/Limbe/apartment-for-sale-2901?locale=en,Guest house,3.0,2.0,Batoke, Limbe,16000000.0,per month,16,20
542,"2 bedroom bedrooms apartment for rent  |  Great soppo, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/bf34211ac2d65f05c095d277d3ad571b.JPEG,https://digitalrenter.com/en/apartment/Great%20soppo/Buea/apartment-to-let-2899?locale=en,Apartment,2.0,3.0,Great soppo, Buea,130000.0,per month,130,7
543,"1 bedroom for rent  |  Molyko, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/3c652f49710393ec5cc3b6f99c3abe3e.JPEG,https://digitalrenter.com/en/studio/Molyko/Buea/studio-to-let-2898?locale=en,Studio,1.0,1.0,Molyko, Buea,85000.0,per month,85,5
544,"3 bedroom bedrooms apartment for sale  |  Isokolo, Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/07558686614953ed19ebce08eb05b58f.jpg,https://digitalrenter.com/en/apartment/Isokolo/Limbe/apartment-for-sale-2896?locale=en,Guest house,3.0,0.0,Isokolo, Limbe,18000000.0,per month,18,7
545,"1 bedroom for rent  |  Sokolo, Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/ac8b115737e4571177e323c3cc53593b.jpg,https://digitalrenter.com/en/apartment/Sokolo/Limbe/apartment-to-let-2895?locale=en,Apartment,1.0,2.0,Sokolo, Limbe,100000.0,per month,100,12
