id,query,listing,title,link,listing_type,bedroom,bathrooms,location,town,price,pricepermonth,views,reactions
31,student rooms in Bonduma  Buea,42,"1 bedroom bedroom studio for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3914?locale=en,Studio,1.0,1.0,Bonduma, Buea,50000.0,per month,50,5
32,guest house in  Buea Mile 17,3,"1 bedroom toguest house to let   |  Mile 17, Buea, Cameroon",https://digitalrenter.com/en/guest%20house/Mile%2017/Buea/guest-house-to-let-1701?locale=en,Guest house,1.0,1.0,Mile 17, Buea,25000.0,As from,25,20
33,affordable houses in  Buea Bonduma,1,"1 bedroom for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3309?locale=en,Studio,1.0,1.0,Bonduma, Buea,50000.0,per month,50,4
34,affordable houses in  Buea Bonduma,42,"1 bedroom bedroom studio for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3914?locale=en,Studio,1.0,1.0,Bonduma, Buea,50000.0,per month,50,5
35,1 bedroom house in After GHS Limbe  Limbe,8,"1 bedroom for rent  |  After GHS Limbe , Limbe, Cameroon",https://digitalrenter.com/en/studio/After%20GHS%20Limbe%20/Limbe/studio-to-let-3979?locale=en,Studio,1.0,1.0,After GHS Limbe , Limbe,70000.0,per month,70,10
36,1 bedroom house in After GHS Limbe  Limbe,10,"1 bedroom for rent  |  After GHS Limbe , Limbe, Cameroon",https://digitalrenter.com/en/studio/After%20GHS%20Limbe%20/Limbe/studio-to-let-3977?locale=en,Studio,1.0,1.0,After GHS Limbe , Limbe,65000.0,per month,65,7
37,1 bedroom house in After GHS Limbe  Limbe,12,"1 bedroom room for rent  |  After GHS Limbe , Limbe, Cameroon",https://digitalrenter.com/en/single%20room/After%20GHS%20Limbe%20/Limbe/single-room-to-let-3975?locale=en,Single Room,1.0,1.0,After GHS Limbe , Limbe,50000.0,per month,50,6
38,family houses in  Yaounde Odza,23,"3 bedroom bedrooms apartment for rent  |  Odza, Yaounde, Cameroon",https://digitalrenter.com/en/apartment/Odza/Yaounde/apartment-to-let-3955?locale=en,Apartment,3.0,2.0,Odza, Yaounde,250000.0,per month,250,7
39,3 bedroom house in Sandpit Buea,2,"3 bedroom bedrooms apartment for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.com/en/apartment/Sandpit/Buea/apartment-to-let-3308?locale=fr,Apartment,3.0,2.0,Sandpit, Buea,120.0,per month,120,7
40,3 bedroom house in Sandpit Buea,48,"3 bedroom bedrooms apartment for rent  |  Sandpit, Buea, Cameroon",https://digitalrenter.com/en/apartment/Sandpit/Buea/apartment-to-let-3905?locale=en,Apartment,3.0,2.0,Sandpit, Buea,140000.0,per month,140,6
